Average State Income,Contact Method,Age Group,Gender,Scam Category,Scam Type,Amount_lost,State_New South Wales,State_Northern Territory,State_Queensland,State_South Australia,State_Tasmania,State_Victoria,State_Western Australia,Actual_Number_of_Reports,Predicted_Number_of_Reports
1776.9,0.19690913935518253,3.0,0,0.2981170619060307,0.09965361044497735,186000.0,0,0,0,1,0,0,0,2,5.915869047619047
1776.9,0.23430144773070433,6.0,0,0.027267075228705924,0.027267075228705924,,0,0,0,1,0,0,0,1,1.2368492063492063
1935.7,0.23430144773070433,5.0,1,0.05671018740563105,0.03250732747135625,,1,0,0,0,0,0,0,6,4.594821428571429
1882.0,0.09960920152766675,4.0,1,0.030375699440447643,0.028244071409539037,,0,0,0,0,0,1,0,1,1.259
1935.7,0.23430144773070433,6.0,0,0.03543831601385558,0.03543831601385558,,1,0,0,0,0,0,0,1,5.859722222222222
1901.0,0.09960920152766675,5.0,1,0.09849897859490185,0.09849897859490185,529.16,0,0,1,0,0,0,0,2,1.48
1776.9,0.23430144773070433,3.0,0,0.33195665689670484,0.09761080024868994,3098.6,0,0,0,1,0,0,0,3,2.012166666666667
1935.7,0.14175326405542232,5.0,0,0.06306066258104627,0.05733191224797939,2377.17,1,0,0,0,0,0,0,3,2.91
2094.3,0.23430144773070433,4.0,0,0.33195665689670484,0.02655653255173639,,0,0,0,0,0,0,1,1,1.1286753246753247
1901.0,0.09960920152766675,6.0,0,0.2981170619060307,0.09965361044497735,,0,0,1,0,0,0,0,1,1.4546904761904762
1901.0,0.033084643396394,2.0,0,0.2981170619060307,0.08775202060573763,,0,0,1,0,0,0,0,1,1.2276666666666667
1901.0,0.23430144773070433,5.0,0,0.049737987387867486,0.016653343991473488,,0,0,1,0,0,0,0,4,2.9927976190476193
1845.8,0.23430144773070433,6.0,0,0.2981170619060307,0.09965361044497735,,0,1,0,0,0,0,0,8,13.313674603174606
2094.3,0.23430144773070433,6.0,1,0.33195665689670484,0.09272581934452438,3973.75,0,0,0,0,0,0,1,22,22.932107142857138
1935.7,0.20330402344790835,4.0,1,0.33195665689670484,0.09272581934452438,,1,0,0,0,0,0,0,22,18.470988095238102
1845.8,0.23430144773070433,3.0,1,0.05671018740563105,0.03250732747135625,0.0,0,1,0,0,0,0,0,1,1.17
1935.7,0.19690913935518253,6.0,0,0.06306066258104627,0.05733191224797939,828209.0,1,0,0,0,0,0,0,5,5.75
1776.9,0.19690913935518253,6.0,1,0.2981170619060307,0.08775202060573763,,0,0,0,1,0,0,0,1,2.047769841269841
1710.8,0.23430144773070433,6.0,1,0.09849897859490185,0.09849897859490185,,0,0,0,0,1,0,0,2,1.8490317460317458
1901.0,0.06297184474642509,6.0,0,0.33195665689670484,0.07287503330668799,,0,0,1,0,0,0,0,1,1.17
1935.7,0.19690913935518253,1.0,0,0.2981170619060307,0.045607958077982055,,1,0,0,0,0,0,0,1,1.033
