Average State Income,Contact Method,Age Group,Scam Type,Amount_lost,Number_of_reports,State_New South Wales,State_Northern Territory,State_Queensland,State_South Australia,State_Tasmania,State_Victoria,State_Western Australia,Predicted_Number_of_Reports,Actual_Number_of_Reports
1776.9,0.19690913935518253,5.0,0.08775202060573763,0.0,1,0,0,0,1,0,0,0,3.32281497185116,1
1710.8,0.23430144773070433,5.0,0.09849897859490185,0.0,2,0,0,0,0,1,0,0,6.516103777117504,2
1901.0,0.06297184474642509,5.0,0.07287503330668799,0.0,1,0,0,1,0,0,0,0,1.7882862807879494,1
1935.7,0.19690913935518253,0.0,0.045607958077982055,0.0,1,1,0,0,0,0,0,0,1.3240012816835571,1
2094.3,0.23430144773070433,3.0,0.045607958077982055,0.0,1,0,0,0,0,0,0,1,1.2019598621165122,1
1710.8,0.09960920152766675,1.0,0.09849897859490185,0.0,1,0,0,0,0,1,0,0,-0.2532105838506269,1
1901.0,0.20330402344790835,3.0,0.027267075228705924,0.0,3,0,0,1,0,0,0,0,2.2314177181811123,3
2094.3,0.19690913935518253,0.0,0.06510347277733369,745.77,1,0,0,0,0,0,0,1,1.1964382761568553,1
1901.0,0.19690913935518253,2.0,0.07287503330668799,4665.0,1,0,0,1,0,0,0,0,3.000373549496889,1
1935.7,0.06297184474642509,4.0,0.09965361044497735,0.0,1,1,0,0,0,0,0,0,7.359291251360386,1
1882.0,0.06297184474642509,1.0,0.09761080024868994,0.0,1,0,0,0,0,0,1,0,1.3636734991277728,1
1935.7,0.19690913935518253,2.0,0.09849897859490185,0.0,12,1,0,0,0,0,0,0,4.094772289347262,12
1882.0,0.23430144773070433,5.0,0.09272581934452438,0.0,29,0,0,0,0,0,1,0,13.149275626231868,29
1901.0,0.23430144773070433,5.0,0.00572875033306688,0.0,1,0,0,1,0,0,0,0,5.472154480725638,1
1935.7,0.23430144773070433,2.0,0.06510347277733369,157.0,4,1,0,0,0,0,0,0,2.99942900247516,4
1776.9,0.09960920152766675,1.0,0.08775202060573763,0.0,1,0,0,0,1,0,0,0,0.1314016826606597,1
1882.0,0.02602362554400924,3.0,0.09849897859490185,0.0,2,0,0,0,0,0,1,0,1.9979842222559223,2
1845.8,0.09960920152766675,5.0,0.09761080024868994,0.0,1,0,1,0,0,0,0,0,0.06310663012785764,1
1882.0,0.20330402344790835,3.0,0.09272581934452438,0.0,46,0,0,0,0,0,1,0,7.474969136395797,46
1901.0,0.14175326405542232,0.0,0.027267075228705924,74.0,1,0,0,1,0,0,0,0,0.5220504807665213,1
1882.0,0.20330402344790835,3.0,0.09272581934452438,0.0,9,0,0,0,0,0,1,0,7.474969136395797,9
1882.0,0.033084643396394,5.0,0.09272581934452438,0.0,1,0,0,0,0,0,1,0,4.148776708093679,1
2126.5,0.19690913935518253,3.0,0.045607958077982055,0.0,1,0,0,0,0,0,0,0,0.739144701200401,1
2126.5,0.14175326405542232,0.0,0.07287503330668799,1266.5,3,0,0,0,0,0,0,0,1.108810006491697,3
1776.9,0.06297184474642509,3.0,0.09849897859490185,0.0,1,0,0,0,1,0,0,0,0.45441080260228894,1
2094.3,0.20330402344790835,3.0,0.07287503330668799,0.0,1,0,0,0,0,0,0,1,2.065775296328536,1
1901.0,0.09960920152766675,2.0,0.09849897859490185,0.0,1,0,0,1,0,0,0,0,1.4955398321268412,1
1882.0,0.23430144773070433,5.0,0.09761080024868994,118.09,10,0,0,0,0,0,1,0,12.934348767799165,10
1935.7,0.20330402344790835,4.0,0.03250732747135625,0.0,1,1,0,0,0,0,0,0,3.6875203265824963,1
1935.7,0.19690913935518253,0.0,0.08775202060573763,0.0,2,1,0,0,0,0,0,0,2.795390148028301,2
1882.0,0.09960920152766675,3.0,0.09761080024868994,808.67,5,0,0,0,0,0,1,0,3.273763293942305,5
1935.7,0.14175326405542232,5.0,0.09849897859490185,0.0,2,1,0,0,0,0,0,0,5.976567054462887,2
1935.7,0.19690913935518253,5.0,0.024202859934274804,0.0,1,1,0,0,0,0,0,0,3.0940728360361947,1
2094.3,0.19690913935518253,4.0,0.02375877076116884,0.0,1,0,0,0,0,0,0,1,1.297807675926707,1
1901.0,0.033084643396394,2.0,0.06510347277733369,0.0,1,0,0,1,0,0,0,0,1.3473251111139461,1
1901.0,0.033084643396394,5.0,0.09965361044497735,0.0,1,0,0,1,0,0,0,0,12.139219172593297,1
2094.3,0.20330402344790835,1.0,0.08775202060573763,0.0,1,0,0,0,0,0,0,1,3.3413791065321496,1
1935.7,0.23430144773070433,0.0,0.09761080024868994,198.15,3,1,0,0,0,0,0,0,4.907449025386241,3
1935.7,0.06297184474642509,1.0,0.07287503330668799,350.0,1,1,0,0,0,0,0,0,1.4596417762625402,1
1882.0,0.09960920152766675,5.0,0.09272581934452438,0.0,3,0,0,0,0,0,1,0,4.801688533159913,3
1776.9,0.20330402344790835,0.0,0.09965361044497735,0.0,6,0,0,0,1,0,0,0,-0.8871670610014898,6
1882.0,0.14175326405542232,4.0,0.02375877076116884,339.75,1,0,0,0,0,0,1,0,1.6639820772360119,1
