Age Group,State,Average State Income,Scam Type,Contact Method,Amount_lost,Actual_Number_of_Reports,Predicted_Number_of_Reports
45 - 54,New South Wales,1935.7,Classified,Text message,80.0,1,3.59
55 - 64,Victoria,1882.0,inheritance and unexpected money,Social media/Online forums,,1,1.05
55 - 64,Northern Territory,1845.8,Rebate,Email,,2,1.47
55 - 64,South Australia,1776.9,False billing,Email,0.0,9,7.68
45 - 54,New South Wales,2126.5,Identity theft,Mail,,1,1.02
55 - 64,Victoria,1882.0,Health and medical products,Phone call,,1,1.08
65 and over,New South Wales,2126.5,Ransomware and malware,Email,0.0,1,1.56
45 - 54,New South Wales,1935.7,Identity theft,Email,,3,2.48
55 - 64,Victoria,1882.0,Online shopping,Email,,2,2.89
65 and over,Queensland,1901.0,Online shopping,Phone call,,1,2.78
18 - 24,New South Wales,2126.5,Hacking,Email,,1,1.2
65 and over,Western Australia,2094.3,False billing,Email,,17,19.82
55 - 64,New South Wales,1935.7,False billing,Internet,,1,1.5
45 - 54,Western Australia,2094.3,Dating and romance,Mobile apps,89.11,5,1.14
35 - 44,Queensland,1901.0,Classified,Text message,,1,1.91
25 - 34,Queensland,1901.0,Investment,Text message,10000.0,1,1.17
25 - 34,New South Wales,2126.5,Classified,Social media/Online forums,55.0,1,1.86
35 - 44,Queensland,1901.0,Jobs and employment,Mobile apps,6000.0,1,1.73
25 - 34,Queensland,1901.0,Rebate,Phone call,0.0,2,1.45
65 and over,Western Australia,2094.3,Phishing,Mail,,1,1.14
25 - 34,New South Wales,1935.7,Classified,Social media/Online forums,10950.0,8,6.82
35 - 44,Queensland,1901.0,Hacking,Text message,700.0,2,3.01
25 - 34,Queensland,1901.0,Rebate,Text message,,2,2.54
18 - 24,South Australia,1776.9,Mobile premium services,Phone call,,1,1.01
35 - 44,Queensland,1901.0,Other,Social media/Online forums,50.0,2,2.26
18 - 24,New South Wales,1935.7,Overpayment,Email,85.0,1,1.77
55 - 64,New South Wales,1935.7,Investment,Email,5692.0,1,2.54
45 - 54,New South Wales,1935.7,Rebate,Email,4750.0,2,1.71
35 - 44,Victoria,1882.0,Remote access,Email,0.0,1,1.8
55 - 64,South Australia,1776.9,Investment,Email,131000.0,1,2.69
45 - 54,Western Australia,2094.3,Phishing,Phone call,,2,4.54
35 - 44,New South Wales,1935.7,Overpayment,Internet,931.13,2,1.25
65 and over,South Australia,1776.9,Investment,Internet,,2,1.21
45 - 54,Western Australia,2094.3,Investment,Email,,1,1.05
Under 18,Victoria,1882.0,Other,In person,0.0,1,1.01
55 - 64,South Australia,1776.9,Remote access,Mobile apps,,1,1.22
55 - 64,Queensland,1901.0,False billing,Text message,,25,30.33
18 - 24,New South Wales,1935.7,"Travel, prizes and lottery",Email,,1,1.11
45 - 54,Victoria,1882.0,Classified,Social media/Online forums,1905.95,5,5.69
25 - 34,New South Wales,1935.7,Dating and romance,Social media/Online forums,,1,1.23
35 - 44,New South Wales,1935.7,Phishing,Mobile apps,6925.75,1,2.32
25 - 34,New South Wales,2126.5,Phishing,Email,0.0,1,2.34
35 - 44,South Australia,1776.9,Online shopping,Email,32.26,1,1.91
65 and over,Queensland,1901.0,Classified,Internet,0.0,1,2.12
55 - 64,Victoria,1882.0,Dating and romance,Social media/Online forums,,1,1.01
45 - 54,Queensland,1901.0,Overpayment,Social media/Online forums,,1,1.0
55 - 64,New South Wales,1935.7,False billing,Social media/Online forums,99.0,1,1.78
45 - 54,Victoria,1882.0,Hacking,Text message,,1,2.1
18 - 24,Victoria,1882.0,Classified,Email,2580.0,1,1.0
45 - 54,New South Wales,1935.7,inheritance and unexpected money,Mail,,2,1.46
25 - 34,Northern Territory,1845.8,Other,Internet,230.0,1,1.37
45 - 54,Victoria,1882.0,Psychic and clairvoyant,Email,,1,1.63
65 and over,New South Wales,1935.7,Rebate,Text message,,6,5.9
25 - 34,Queensland,1901.0,Hacking,Email,,1,1.71
55 - 64,Victoria,1882.0,Other,Email,,6,3.6
65 and over,South Australia,1776.9,Phishing,Phone call,10000.0,15,10.84
45 - 54,Queensland,1901.0,"Threats to life, arrest or other",Text message,0.0,1,1.76
25 - 34,Victoria,1882.0,Rebate,Text message,,1,1.27
65 and over,Western Australia,2094.3,Online shopping,Social media/Online forums,101.04,3,2.31
65 and over,New South Wales,1935.7,Fake charity,Phone call,,1,1.26
45 - 54,New South Wales,1935.7,Remote access,Phone call,7500.0,5,5.21
35 - 44,Victoria,1882.0,Investment,Internet,0.0,1,1.01
55 - 64,Western Australia,2094.3,"Threats to life, arrest or other",Text message,,1,1.21
35 - 44,New South Wales,1935.7,Pyramid schemes,Social media/Online forums,,1,1.01
35 - 44,New South Wales,1935.7,Overpayment,Text message,,2,2.64
45 - 54,New South Wales,1935.7,Ransomware and malware,Social media/Online forums,,1,1.11
65 and over,Queensland,1901.0,Identity theft,Social media/Online forums,112.93,1,3.11
65 and over,Western Australia,2094.3,Phishing,Email,,56,58.45
65 and over,South Australia,1776.9,Online shopping,Email,,2,3.04
35 - 44,Victoria,1882.0,inheritance and unexpected money,Email,,1,1.49
55 - 64,New South Wales,1935.7,Identity theft,Internet,,2,1.34
45 - 54,Victoria,1882.0,Online shopping,Text message,5702.0,3,5.23
65 and over,New South Wales,1935.7,Hacking,Social media/Online forums,0.0,1,4.52
35 - 44,New South Wales,1935.7,Mobile premium services,Phone call,,2,2.68
55 - 64,New South Wales,2126.5,Phishing,Email,,2,8.84
25 - 34,New South Wales,1935.7,Online shopping,Social media/Online forums,872.57,10,7.16
65 and over,Queensland,1901.0,Classified,Email,17475.0,4,6.44
55 - 64,Queensland,1901.0,Other,Phone call,,6,8.25
65 and over,Queensland,1901.0,Jobs and employment,Text message,,1,1.08
35 - 44,Victoria,1882.0,inheritance and unexpected money,Phone call,,1,1.13
18 - 24,Western Australia,2094.3,Other,Social media/Online forums,279.59,2,1.2
65 and over,Victoria,1882.0,Phishing,Fax,0.0,1,8.88
18 - 24,Western Australia,2094.3,Other,Social media/Online forums,,1,1.29
35 - 44,New South Wales,1935.7,Classified,Internet,0.0,2,1.28
45 - 54,New South Wales,2126.5,Phishing,Phone call,,1,3.52
45 - 54,Queensland,1901.0,Dating and romance,Social media/Online forums,175000.0,1,2.78
55 - 64,Victoria,1882.0,Online shopping,Text message,,1,9.38
Under 18,Western Australia,2094.3,Other,Text message,,1,1.87
35 - 44,Western Australia,2094.3,False billing,Mail,,1,1.45
35 - 44,Tasmania,1710.8,Online shopping,Social media/Online forums,1750.0,4,3.02
45 - 54,Queensland,1901.0,Ransomware and malware,Email,,3,1.3
18 - 24,Victoria,1882.0,Investment,Mail,,1,1.03
55 - 64,New South Wales,1935.7,Online shopping,Social media/Online forums,500.0,3,4.65
65 and over,Queensland,1901.0,Overpayment,Text message,,1,1.18
65 and over,New South Wales,1935.7,Other,In person,0.0,1,1.54
25 - 34,Queensland,1901.0,"Threats to life, arrest or other",Phone call,0.0,1,2.33
25 - 34,New South Wales,1935.7,Mobile premium services,Phone call,,2,1.85
45 - 54,Western Australia,2094.3,"Travel, prizes and lottery",Text message,,1,1.64
35 - 44,Victoria,1882.0,Mobile premium services,Text message,,1,1.9
55 - 64,South Australia,1776.9,Other,Text message,,2,2.65
45 - 54,Western Australia,2094.3,Ransomware and malware,Email,,1,1.07
18 - 24,Victoria,1882.0,False billing,Text message,,2,1.56
45 - 54,South Australia,1776.9,Investment,Phone call,0.0,1,1.12
18 - 24,New South Wales,2126.5,Other,Text message,,1,1.03
Under 18,Western Australia,2094.3,Classified,Text message,,1,1.05
65 and over,New South Wales,1935.7,Online shopping,Phone call,0.0,1,2.28
35 - 44,South Australia,1776.9,Other,Social media/Online forums,0.0,1,1.08
65 and over,Queensland,1901.0,Phishing,Phone call,12250.0,20,33.38
35 - 44,Victoria,1882.0,Overpayment,Email,,1,1.52
65 and over,South Australia,1776.9,Identity theft,Email,400.0,7,5.65
65 and over,Queensland,1901.0,False billing,Internet,1403.04,3,1.75
65 and over,South Australia,1776.9,Phishing,In person,,1,1.16
45 - 54,New South Wales,1935.7,Ransomware and malware,Email,0.0,1,1.4
65 and over,South Australia,1776.9,Online shopping,Email,,2,2.72
35 - 44,Western Australia,2094.3,Other,Text message,0.0,3,2.3
55 - 64,Victoria,1882.0,Overpayment,Email,,1,2.33
55 - 64,Victoria,1882.0,Online shopping,Social media/Online forums,488.35,7,7.55
65 and over,South Australia,1776.9,"Travel, prizes and lottery",Email,,1,1.24
35 - 44,New South Wales,1935.7,Identity theft,Text message,,8,5.59
55 - 64,Victoria,1882.0,Identity theft,Phone call,,2,3.07
65 and over,Queensland,1901.0,Identity theft,Internet,127.55,3,2.36
55 - 64,Victoria,1882.0,Other,Mobile apps,229.0,2,1.11
25 - 34,New South Wales,1935.7,Phishing,Email,,5,4.87
25 - 34,South Australia,1776.9,Other,Social media/Online forums,350.0,2,1.78
65 and over,Victoria,1882.0,Hacking,Internet,,1,1.87
45 - 54,Western Australia,2094.3,Investment,Email,,1,1.13
55 - 64,New South Wales,2126.5,Remote access,Phone call,,3,1.51
45 - 54,Western Australia,2094.3,Hacking,Email,,3,1.06
18 - 24,Victoria,1882.0,Other,Email,,1,1.03
45 - 54,New South Wales,1935.7,Overpayment,Social media/Online forums,,1,1.41
65 and over,Queensland,1901.0,Investment,Phone call,97501.0,10,5.8
35 - 44,New South Wales,1935.7,Remote access,Phone call,,5,4.83
35 - 44,New South Wales,2126.5,Dating and romance,Email,,1,1.03
55 - 64,Western Australia,2094.3,Investment,Internet,,1,1.16
35 - 44,Western Australia,2094.3,Identity theft,Phone call,,4,3.79
65 and over,Victoria,1882.0,Investment,Phone call,,2,2.94
Under 18,Queensland,1901.0,Rebate,Text message,,1,1.64
65 and over,Western Australia,2094.3,Phishing,Email,,41,60.31
45 - 54,New South Wales,1935.7,Remote access,Phone call,685.0,8,5.14
25 - 34,Queensland,1901.0,False billing,Phone call,,3,3.62
55 - 64,New South Wales,2126.5,Hacking,Email,,1,2.24
25 - 34,New South Wales,1935.7,Dating and romance,Social media/Online forums,20.0,1,1.56
65 and over,Queensland,1901.0,Classified,In person,1400.0,1,2.39
45 - 54,Western Australia,2094.3,"Travel, prizes and lottery",In person,,1,1.01
65 and over,Tasmania,1710.8,Rebate,Text message,,1,1.93
35 - 44,Northern Territory,1845.8,False billing,Text message,0.0,1,1.23
35 - 44,New South Wales,2126.5,Dating and romance,Social media/Online forums,1177.6,1,1.55
25 - 34,South Australia,1776.9,Other,Phone call,,1,2.34
65 and over,New South Wales,1935.7,Online shopping,Phone call,,1,2.84
55 - 64,Western Australia,2094.3,Investment,Email,,1,1.22
25 - 34,Northern Territory,1845.8,Phishing,Text message,,1,1.71
18 - 24,Victoria,1882.0,Identity theft,Text message,,1,1.49
55 - 64,New South Wales,1935.7,Hacking,Email,,13,6.92
65 and over,New South Wales,1935.7,Health and medical products,Text message,,4,4.85
65 and over,Western Australia,2094.3,Investment,Email,,3,1.72
45 - 54,Western Australia,2094.3,Online shopping,Social media/Online forums,118.05,2,1.89
35 - 44,Victoria,1882.0,Classified,Text message,,2,1.88
55 - 64,New South Wales,1935.7,Hacking,Email,,6,5.97
55 - 64,New South Wales,2126.5,Investment,Mobile apps,,1,1.0
25 - 34,Queensland,1901.0,Identity theft,Phone call,,3,3.97
45 - 54,New South Wales,1935.7,Phishing,Email,,17,27.55
45 - 54,New South Wales,1935.7,Rebate,Phone call,,2,1.01
Under 18,New South Wales,1935.7,Hacking,Internet,,1,1.09
65 and over,Queensland,1901.0,Health and medical products,Text message,,2,2.69
65 and over,New South Wales,1935.7,Identity theft,Internet,,1,1.83
25 - 34,New South Wales,1935.7,"Threats to life, arrest or other",Internet,5000.0,1,1.08
25 - 34,Victoria,1882.0,"Travel, prizes and lottery",Text message,,1,1.1
65 and over,New South Wales,1935.7,Online shopping,Phone call,,2,2.48
45 - 54,Queensland,1901.0,Mobile premium services,Phone call,,2,2.03
35 - 44,Western Australia,2094.3,inheritance and unexpected money,Text message,,2,1.05
45 - 54,Queensland,1901.0,Mobile premium services,Phone call,,2,1.57
Under 18,Western Australia,2094.3,Online shopping,Text message,0.0,1,1.48
18 - 24,New South Wales,2126.5,Phishing,Text message,,2,1.37
65 and over,Queensland,1901.0,Dating and romance,Email,,9,10.61
45 - 54,Queensland,1901.0,Dating and romance,Mobile apps,,1,1.33
65 and over,Tasmania,1710.8,False billing,Email,,9,11.92
18 - 24,Victoria,1882.0,Jobs and employment,Email,0.0,2,1.36
35 - 44,Victoria,1882.0,"Travel, prizes and lottery",Email,,2,1.03
45 - 54,New South Wales,2126.5,Online shopping,Social media/Online forums,450.0,1,1.4
65 and over,New South Wales,2126.5,Identity theft,Email,,3,3.67
25 - 34,Victoria,1882.0,Investment,Phone call,,3,1.0
55 - 64,New South Wales,1935.7,Mobile premium services,Phone call,,1,1.42
25 - 34,South Australia,1776.9,"Threats to life, arrest or other",Mobile apps,113000.0,1,3.18
65 and over,New South Wales,2126.5,Rebate,Email,0.0,1,1.53
55 - 64,South Australia,1776.9,Other,Text message,,4,2.65
35 - 44,Western Australia,2094.3,Investment,Social media/Online forums,,1,1.64
65 and over,Victoria,1882.0,Remote access,Mobile apps,11000.0,1,1.86
45 - 54,Victoria,1882.0,Online shopping,unspecified,,1,1.16
45 - 54,Western Australia,2094.3,"Travel, prizes and lottery",Email,,4,1.0
45 - 54,South Australia,1776.9,Other,Text message,,6,4.42
45 - 54,New South Wales,1935.7,Identity theft,Text message,1001.75,8,6.35
65 and over,Western Australia,2094.3,"Threats to life, arrest or other",Email,,2,4.72
45 - 54,South Australia,1776.9,Identity theft,Email,,1,1.75
18 - 24,Western Australia,2094.3,Hacking,Phone call,,1,1.12
65 and over,New South Wales,1935.7,False billing,Mail,0.0,1,1.3
35 - 44,Queensland,1901.0,Investment,Mobile apps,,1,1.49
18 - 24,Western Australia,2094.3,Hacking,Phone call,450.0,1,1.19
65 and over,Queensland,1901.0,Betting and sports investment,Email,,1,1.21
18 - 24,Queensland,1901.0,Phishing,Text message,,6,8.09
25 - 34,Queensland,1901.0,"Travel, prizes and lottery",Internet,0.0,2,1.1
25 - 34,New South Wales,1935.7,Online shopping,Mail,0.0,1,1.05
55 - 64,Victoria,1882.0,Health and medical products,Text message,,2,3.09
55 - 64,Queensland,1901.0,Remote access,Mobile apps,,3,1.11
65 and over,Tasmania,1710.8,False billing,Text message,,3,2.37
Under 18,Western Australia,2094.3,Online shopping,Social media/Online forums,74.0,1,1.6
45 - 54,New South Wales,2126.5,Other,Text message,,1,1.76
65 and over,Victoria,1882.0,Online shopping,Email,500.0,3,17.87
45 - 54,Queensland,1901.0,Dating and romance,Text message,400.0,7,1.72
35 - 44,Western Australia,2094.3,Other,Phone call,,5,2.5
55 - 64,Victoria,1882.0,Overpayment,Phone call,,1,1.15
55 - 64,Western Australia,2094.3,Hacking,Phone call,,1,2.75
Under 18,Victoria,1882.0,Online shopping,Internet,800.0,1,3.1
Under 18,New South Wales,1935.7,Other,Social media/Online forums,,1,1.04
25 - 34,New South Wales,1935.7,"Travel, prizes and lottery",Phone call,,2,1.52
55 - 64,Victoria,1882.0,Other,Email,,6,5.33
55 - 64,Queensland,1901.0,Investment,Phone call,3657.88,3,4.11
65 and over,Queensland,1901.0,Dating and romance,Social media/Online forums,106200.0,4,1.89
35 - 44,Queensland,1901.0,Identity theft,Phone call,,2,4.53
35 - 44,South Australia,1776.9,False billing,Text message,,1,3.85
45 - 54,New South Wales,2126.5,Classified,Social media/Online forums,,1,1.2
25 - 34,New South Wales,2126.5,Rebate,Text message,,1,1.89
18 - 24,Tasmania,1710.8,Phishing,Text message,,2,1.39
45 - 54,Western Australia,2094.3,False billing,Phone call,2000.0,2,2.57
35 - 44,Queensland,1901.0,Remote access,Email,,1,1.41
55 - 64,New South Wales,1935.7,Hacking,Email,0.0,8,6.81
65 and over,New South Wales,1935.7,Psychic and clairvoyant,In person,30000.0,1,3.71
45 - 54,Western Australia,2094.3,Phishing,Phone call,,1,4.54
65 and over,Victoria,1882.0,Remote access,Text message,,1,1.86
55 - 64,New South Wales,1935.7,"Threats to life, arrest or other",Phone call,0.0,1,1.69
55 - 64,Queensland,1901.0,Other,Phone call,485.0,11,10.16
55 - 64,Western Australia,2094.3,Rebate,Text message,,2,1.98
55 - 64,Tasmania,1710.8,Phishing,Email,,4,5.77
55 - 64,Queensland,1901.0,Dating and romance,Mobile apps,,1,1.28
65 and over,New South Wales,2126.5,Dating and romance,Email,,1,1.39
18 - 24,New South Wales,1935.7,False billing,Email,2000.0,9,3.13
45 - 54,New South Wales,1935.7,inheritance and unexpected money,Mail,,1,1.46
25 - 34,Western Australia,2094.3,False billing,Phone call,11374.0,2,1.7
55 - 64,New South Wales,2126.5,Other,Mail,,1,1.0
25 - 34,New South Wales,1935.7,Investment,Mobile apps,10000.0,2,1.59
45 - 54,New South Wales,1935.7,Phishing,Email,0.0,22,30.52
65 and over,New South Wales,1935.7,Other,Phone call,,19,18.72
65 and over,South Australia,1776.9,Phishing,Social media/Online forums,,1,1.44
35 - 44,New South Wales,1935.7,Investment,Phone call,15000.0,4,3.05
45 - 54,Queensland,1901.0,Classified,Email,1200.0,1,3.23
25 - 34,Victoria,1882.0,Betting and sports investment,Text message,,3,1.05
35 - 44,Northern Territory,1845.8,Investment,Phone call,1300.0,1,1.98
45 - 54,Victoria,1882.0,Investment,Internet,1700.0,1,1.64
25 - 34,Victoria,1882.0,Online shopping,Social media/Online forums,1793.97,15,8.81
35 - 44,Queensland,1901.0,Mobile premium services,Text message,,1,1.07
65 and over,Victoria,1882.0,inheritance and unexpected money,Email,,4,3.76
65 and over,Queensland,1901.0,Classified,Mobile apps,3420.0,1,2.12
65 and over,Tasmania,1710.8,Phishing,Mail,,1,1.1
65 and over,Victoria,1882.0,Phishing,Mail,0.0,1,1.36
65 and over,Queensland,1901.0,Health and medical products,Text message,0.0,1,2.55
18 - 24,New South Wales,1935.7,"Threats to life, arrest or other",Email,,1,1.07
65 and over,Victoria,1882.0,"Travel, prizes and lottery",Email,,3,4.33
18 - 24,Queensland,1901.0,Other,Phone call,,3,2.75
65 and over,New South Wales,2126.5,False billing,Text message,,5,4.06
35 - 44,Victoria,1882.0,Other,Phone call,500.0,6,6.18
35 - 44,New South Wales,1935.7,Phishing,Text message,730.41,41,36.25
65 and over,Victoria,1882.0,Online shopping,Text message,0.0,1,6.04
45 - 54,Western Australia,2094.3,Phishing,Text message,1457.99,10,13.09
35 - 44,New South Wales,2126.5,"Threats to life, arrest or other",Email,,2,1.5
18 - 24,Victoria,1882.0,Health and medical products,Text message,,1,1.05
35 - 44,Queensland,1901.0,"Travel, prizes and lottery",Phone call,0.0,2,1.44
45 - 54,Western Australia,2094.3,Betting and sports investment,Phone call,,1,1.07
25 - 34,Queensland,1901.0,Phishing,Text message,,28,22.73
25 - 34,South Australia,1776.9,Online shopping,Internet,433.0,1,2.04
25 - 34,Tasmania,1710.8,Phishing,Text message,,1,2.84
65 and over,Victoria,1882.0,inheritance and unexpected money,Text message,,1,1.05
55 - 64,Western Australia,2094.3,Rebate,Email,,2,2.78
25 - 34,New South Wales,1935.7,Psychic and clairvoyant,Social media/Online forums,,1,1.02
45 - 54,Victoria,1882.0,Online shopping,Internet,290.0,5,4.46
25 - 34,South Australia,1776.9,Phishing,Internet,,1,1.03
35 - 44,Queensland,1901.0,Dating and romance,Text message,,1,1.61
18 - 24,Western Australia,2094.3,Remote access,Internet,,1,1.02
45 - 54,Queensland,1901.0,Jobs and employment,Email,,1,1.02
65 and over,Northern Territory,1845.8,False billing,Email,,4,3.14
35 - 44,Victoria,1882.0,Hacking,Social media/Online forums,,1,1.23
45 - 54,South Australia,1776.9,Hacking,Phone call,,1,1.31
55 - 64,Victoria,1882.0,Classified,Internet,,3,1.25
25 - 34,New South Wales,1935.7,Jobs and employment,Social media/Online forums,16650.0,3,2.23
55 - 64,New South Wales,1935.7,Hacking,Text message,,7,5.73
18 - 24,Western Australia,2094.3,Online shopping,Text message,,1,1.33
35 - 44,Western Australia,2094.3,Online shopping,Internet,227.8,2,2.67
65 and over,Queensland,1901.0,Rebate,Phone call,,1,1.07
65 and over,Victoria,1882.0,Classified,Text message,,2,2.71
25 - 34,New South Wales,2126.5,Identity theft,Email,,1,1.05
55 - 64,Western Australia,2094.3,Investment,Mobile apps,,1,1.02
45 - 54,Queensland,1901.0,Classified,Phone call,8250.0,2,3.38
65 and over,Tasmania,1710.8,Identity theft,Text message,,1,2.05
65 and over,Western Australia,2094.3,"Threats to life, arrest or other",Email,,1,2.57
65 and over,New South Wales,1935.7,Phishing,Mobile apps,,1,2.37
65 and over,New South Wales,1935.7,Identity theft,Text message,,19,21.29
45 - 54,South Australia,1776.9,Phishing,Phone call,7200.0,6,5.7
25 - 34,Queensland,1901.0,Online shopping,Email,,2,1.46
35 - 44,Queensland,1901.0,Health and medical products,Text message,,2,1.78
45 - 54,Victoria,1882.0,Other,Social media/Online forums,,1,1.13
45 - 54,Victoria,1882.0,Classified,Mobile apps,1000.0,1,1.43
45 - 54,Western Australia,2094.3,Ransomware and malware,Email,,1,1.07
45 - 54,New South Wales,1935.7,Ransomware and malware,Mobile apps,,2,1.63
55 - 64,Western Australia,2094.3,Online shopping,Social media/Online forums,,1,2.5
55 - 64,New South Wales,1935.7,Dating and romance,Social media/Online forums,0.0,2,1.3
45 - 54,South Australia,1776.9,Mobile premium services,Internet,219.64,1,1.19
45 - 54,New South Wales,1935.7,Online shopping,Internet,115.5,4,3.93
55 - 64,Queensland,1901.0,Overpayment,Phone call,,1,1.32
55 - 64,New South Wales,1935.7,Betting and sports investment,Text message,0.0,1,1.21
65 and over,Victoria,1882.0,Identity theft,Mail,,3,1.6
45 - 54,New South Wales,1935.7,Identity theft,Text message,0.0,8,7.02
25 - 34,Queensland,1901.0,Remote access,Phone call,,2,2.28
65 and over,Western Australia,2094.3,Phishing,Internet,0.0,3,1.7
45 - 54,Victoria,1882.0,Identity theft,Social media/Online forums,,2,1.05
65 and over,Western Australia,2094.3,inheritance and unexpected money,Email,,2,1.68
25 - 34,New South Wales,1935.7,"Travel, prizes and lottery",Email,,2,1.21
55 - 64,Victoria,1882.0,Rebate,Text message,,5,3.59
45 - 54,South Australia,1776.9,Phishing,Email,,8,9.17
25 - 34,Queensland,1901.0,Online shopping,Phone call,,1,1.64
35 - 44,Queensland,1901.0,Phishing,Phone call,,10,7.01
18 - 24,South Australia,1776.9,Remote access,Text message,,1,1.09
65 and over,Western Australia,2094.3,Identity theft,Internet,,1,1.11
45 - 54,Victoria,1882.0,Classified,Internet,2041.0,3,2.44
25 - 34,Victoria,1882.0,Identity theft,Text message,,2,3.91
25 - 34,Victoria,1882.0,Identity theft,Phone call,,1,5.66
25 - 34,Western Australia,2094.3,Identity theft,Social media/Online forums,,1,1.55
55 - 64,New South Wales,2126.5,Classified,Internet,,1,1.07
55 - 64,Western Australia,2094.3,inheritance and unexpected money,Email,,2,1.97
35 - 44,Western Australia,2094.3,Jobs and employment,Social media/Online forums,,1,1.14
35 - 44,Western Australia,2094.3,Ransomware and malware,Email,,1,1.28
25 - 34,Victoria,1882.0,False billing,In person,,1,1.01
35 - 44,Victoria,1882.0,Classified,Internet,700.0,1,1.03
35 - 44,New South Wales,2126.5,"Travel, prizes and lottery",Email,,1,1.04
18 - 24,Western Australia,2094.3,Phishing,Phone call,,1,1.41
35 - 44,Western Australia,2094.3,Investment,In person,46000.0,1,1.31
65 and over,South Australia,1776.9,Phishing,Text message,,28,39.57
35 - 44,Queensland,1901.0,Hacking,Phone call,,1,2.23
55 - 64,Queensland,1901.0,Rebate,Text message,,1,2.15
45 - 54,New South Wales,1935.7,Online shopping,Mail,,1,1.04
18 - 24,Queensland,1901.0,Identity theft,Social media/Online forums,,2,1.1
35 - 44,New South Wales,1935.7,Phishing,Social media/Online forums,,2,1.71
35 - 44,Queensland,1901.0,inheritance and unexpected money,Email,,1,2.08
25 - 34,Victoria,1882.0,Health and medical products,Email,,1,1.06
55 - 64,New South Wales,1935.7,Online shopping,Text message,,8,2.3
25 - 34,Victoria,1882.0,Dating and romance,Social media/Online forums,6000.0,1,2.41
65 and over,New South Wales,2126.5,Other,Phone call,,2,2.51
45 - 54,Queensland,1901.0,"Travel, prizes and lottery",Mobile apps,,1,1.08
35 - 44,New South Wales,1935.7,"Threats to life, arrest or other",Mobile apps,,1,1.23
35 - 44,New South Wales,2126.5,Phishing,Text message,,6,5.98
65 and over,New South Wales,1935.7,Classified,Social media/Online forums,0.0,1,3.22
25 - 34,Queensland,1901.0,Other,Phone call,600.0,6,5.32
35 - 44,Western Australia,2094.3,False billing,Phone call,0.0,4,3.16
25 - 34,Queensland,1901.0,Ransomware and malware,Email,,2,1.05
25 - 34,New South Wales,2126.5,Phishing,Phone call,,2,2.06
65 and over,South Australia,1776.9,Remote access,Social media/Online forums,0.0,1,1.84
55 - 64,Victoria,1882.0,Identity theft,Mobile apps,2500.0,1,1.37
65 and over,Western Australia,2094.3,Fake charity,Email,,1,1.45
25 - 34,Queensland,1901.0,Hacking,Email,,1,1.71
45 - 54,South Australia,1776.9,Classified,Social media/Online forums,570.0,2,2.43
35 - 44,New South Wales,1935.7,False billing,In person,,1,1.0
45 - 54,Western Australia,2094.3,Classified,Social media/Online forums,3335.0,9,5.78
18 - 24,Western Australia,2094.3,Phishing,Email,,1,1.23
45 - 54,Western Australia,2094.3,Classified,Mobile apps,650.0,2,1.07
18 - 24,Queensland,1901.0,Phishing,Social media/Online forums,600.0,1,1.32
65 and over,Victoria,1882.0,Classified,Internet,99.0,1,1.65
25 - 34,New South Wales,1935.7,Hacking,Phone call,,1,2.72
45 - 54,New South Wales,1935.7,Overpayment,Email,,1,1.27
25 - 34,Western Australia,2094.3,Phishing,Email,,2,1.45
65 and over,Western Australia,2094.3,"Travel, prizes and lottery",Email,94.11,4,10.29
25 - 34,South Australia,1776.9,"Threats to life, arrest or other",Social media/Online forums,3200.0,1,1.38
65 and over,Northern Territory,1845.8,Remote access,Phone call,,1,1.64
65 and over,Victoria,1882.0,False billing,Text message,,44,16.4
45 - 54,Queensland,1901.0,Ransomware and malware,Email,,1,1.3
55 - 64,New South Wales,1935.7,False billing,Social media/Online forums,110.0,2,2.15
55 - 64,Queensland,1901.0,Rebate,Text message,0.0,1,2.09
45 - 54,Queensland,1901.0,Hacking,Internet,,3,1.62
18 - 24,Queensland,1901.0,Health and medical products,Phone call,,1,1.04
55 - 64,Western Australia,2094.3,Online shopping,Social media/Online forums,1150.0,3,5.63
35 - 44,Queensland,1901.0,Identity theft,Social media/Online forums,,3,1.01
65 and over,Victoria,1882.0,Identity theft,In person,0.0,1,1.62
35 - 44,Victoria,1882.0,"Threats to life, arrest or other",Phone call,0.0,5,1.81
45 - 54,Queensland,1901.0,Phishing,Phone call,,12,9.29
45 - 54,Western Australia,2094.3,Identity theft,Email,,2,3.39
65 and over,Northern Territory,1845.8,Phishing,Text message,,5,1.67
55 - 64,New South Wales,2126.5,Investment,Phone call,617.0,1,1.95
35 - 44,South Australia,1776.9,inheritance and unexpected money,Text message,,1,1.06
Under 18,Queensland,1901.0,Online shopping,Social media/Online forums,185.0,1,1.87
18 - 24,Victoria,1882.0,Overpayment,In person,459.69,1,1.04
45 - 54,Western Australia,2094.3,Identity theft,Text message,,4,2.12
65 and over,Queensland,1901.0,Phishing,Email,,100,54.87
35 - 44,Victoria,1882.0,Mobile premium services,Email,,1,1.57
25 - 34,Queensland,1901.0,Jobs and employment,Text message,,1,1.22
35 - 44,New South Wales,1935.7,Identity theft,Social media/Online forums,,1,1.53
55 - 64,Queensland,1901.0,Remote access,Phone call,0.0,3,2.78
25 - 34,New South Wales,1935.7,Hacking,Social media/Online forums,,1,2.38
