Age Group,State,Average State Income,Scam Type,Contact Method,Amount_lost,Actual_Number_of_Reports,Predicted_Number_of_Reports
55 - 64,Victoria,1882.0,Dating and romance,Mobile apps,10000.0,2,1.16
35 - 44,Queensland,1901.0,Ransomware and malware,Email,,1,1.17
65 and over,Queensland,1901.0,Remote access,Text message,0.0,2,1.91
18 - 24,Western Australia,2094.3,Rebate,Social media/Online forums,,1,1.01
35 - 44,New South Wales,1935.7,inheritance and unexpected money,Text message,0.0,1,1.09
55 - 64,Victoria,1882.0,Identity theft,Text message,,4,8.1
45 - 54,Queensland,1901.0,Rebate,Email,,2,1.19
45 - 54,Victoria,1882.0,Identity theft,Email,,3,2.85
18 - 24,Western Australia,2094.3,Classified,Text message,130.0,1,1.49
65 and over,Queensland,1901.0,Phishing,Text message,2500.0,111,114.66
25 - 34,New South Wales,1935.7,Phishing,Internet,6893.87,2,2.06
18 - 24,Victoria,1882.0,Identity theft,Text message,0.0,1,2.06
35 - 44,New South Wales,2126.5,"Threats to life, arrest or other",Phone call,,1,1.08
25 - 34,Victoria,1882.0,Classified,Text message,,3,1.47
65 and over,Victoria,1882.0,"Travel, prizes and lottery",Text message,,1,1.0
45 - 54,Northern Territory,1845.8,Online shopping,Text message,,1,1.11
65 and over,Tasmania,1710.8,False billing,Phone call,,1,1.5
18 - 24,New South Wales,1935.7,Remote access,Social media/Online forums,2625.0,1,2.67
18 - 24,New South Wales,1935.7,Online shopping,Text message,,1,2.72
45 - 54,New South Wales,1935.7,Other,Phone call,,15,9.92
25 - 34,Victoria,1882.0,Investment,Phone call,,2,1.0
65 and over,Victoria,1882.0,Investment,Email,,2,3.17
45 - 54,Queensland,1901.0,inheritance and unexpected money,Email,,5,9.53
25 - 34,Queensland,1901.0,Hacking,Phone call,,2,1.02
25 - 34,Victoria,1882.0,Other,Phone call,0.0,8,5.2
35 - 44,New South Wales,1935.7,Remote access,Text message,,1,1.42
45 - 54,New South Wales,2126.5,False billing,Email,,2,4.99
45 - 54,New South Wales,1935.7,Online shopping,Email,915.02,10,7.35
35 - 44,Victoria,1882.0,Remote access,Phone call,4000.0,6,4.59
35 - 44,Western Australia,2094.3,Other,Text message,,5,1.82
25 - 34,Victoria,1882.0,"Threats to life, arrest or other",Social media/Online forums,1000.0,1,1.66
35 - 44,Western Australia,2094.3,Overpayment,Email,510.0,1,1.39
55 - 64,Victoria,1882.0,False billing,Text message,,15,25.47
45 - 54,Queensland,1901.0,"Threats to life, arrest or other",Email,,1,1.51
45 - 54,Western Australia,2094.3,Investment,Social media/Online forums,369.06,1,1.9
25 - 34,South Australia,1776.9,Hacking,Text message,,1,1.0
25 - 34,Western Australia,2094.3,Health and medical products,Social media/Online forums,25.0,1,1.06
65 and over,New South Wales,1935.7,Hacking,Text message,0.0,4,6.97
45 - 54,South Australia,1776.9,Online shopping,Internet,55.45,1,1.9
55 - 64,Victoria,1882.0,Other,Text message,,13,12.02
45 - 54,Victoria,1882.0,Ransomware and malware,Phone call,,1,1.17
55 - 64,New South Wales,1935.7,Phishing,Phone call,,26,19.59
35 - 44,Victoria,1882.0,Jobs and employment,Email,0.0,2,1.15
65 and over,South Australia,1776.9,"Travel, prizes and lottery",Email,,6,1.91
35 - 44,New South Wales,2126.5,Other,Phone call,,1,1.2
45 - 54,New South Wales,2126.5,Classified,Internet,,1,1.63
55 - 64,South Australia,1776.9,Investment,Social media/Online forums,,1,1.05
45 - 54,Queensland,1901.0,Phishing,Phone call,,8,11.22
25 - 34,New South Wales,1935.7,Remote access,Phone call,,2,1.69
45 - 54,New South Wales,1935.7,Online shopping,Social media/Online forums,34968.0,9,10.9
65 and over,South Australia,1776.9,Identity theft,Fax,,1,1.44
65 and over,Western Australia,2094.3,Online shopping,Internet,130.0,3,1.95
55 - 64,Queensland,1901.0,False billing,Text message,,53,18.69
55 - 64,Victoria,1882.0,Phishing,Email,,45,47.52
55 - 64,New South Wales,2126.5,Phishing,Email,,2,8.84
35 - 44,New South Wales,1935.7,False billing,Email,0.0,8,5.11
35 - 44,Queensland,1901.0,Online shopping,Email,0.0,2,3.12
55 - 64,New South Wales,1935.7,"Threats to life, arrest or other",Phone call,,1,1.1
35 - 44,Victoria,1882.0,Overpayment,Text message,,2,1.08
55 - 64,Victoria,1882.0,Identity theft,Internet,,1,1.56
65 and over,South Australia,1776.9,Identity theft,Phone call,,1,2.55
45 - 54,New South Wales,1935.7,Remote access,Mobile apps,28.0,1,1.07
45 - 54,Queensland,1901.0,Online shopping,Internet,472.89,8,4.17
25 - 34,New South Wales,1935.7,Phishing,Social media/Online forums,,1,1.38
25 - 34,Western Australia,2094.3,False billing,Social media/Online forums,,1,1.19
55 - 64,Victoria,1882.0,Overpayment,Email,,2,1.12
55 - 64,South Australia,1776.9,Rebate,Text message,,1,1.28
25 - 34,Queensland,1901.0,Overpayment,Social media/Online forums,,1,1.2
55 - 64,South Australia,1776.9,Hacking,Email,,1,1.83
65 and over,Victoria,1882.0,False billing,Text message,,46,32.19
35 - 44,Victoria,1882.0,"Threats to life, arrest or other",Email,,2,1.04
25 - 34,New South Wales,1935.7,Other,Text message,,6,4.33
65 and over,Western Australia,2094.3,Dating and romance,Social media/Online forums,,1,1.02
55 - 64,Queensland,1901.0,inheritance and unexpected money,Phone call,0.0,1,1.13
25 - 34,South Australia,1776.9,Identity theft,Social media/Online forums,,1,1.67
55 - 64,Victoria,1882.0,Classified,Mobile apps,,1,1.4
55 - 64,Tasmania,1710.8,Other,Text message,,3,3.61
65 and over,South Australia,1776.9,Rebate,Text message,,2,1.7
35 - 44,Northern Territory,1845.8,Hacking,Text message,,1,1.27
35 - 44,Victoria,1882.0,Hacking,Email,,6,3.14
65 and over,Queensland,1901.0,Other,Social media/Online forums,,1,1.93
45 - 54,South Australia,1776.9,False billing,Email,45177.94,2,6.76
Under 18,New South Wales,1935.7,Online shopping,Email,,2,1.06
55 - 64,Queensland,1901.0,Remote access,Email,0.0,1,1.72
25 - 34,Queensland,1901.0,Classified,Mobile apps,107.0,2,1.35
65 and over,Tasmania,1710.8,Other,Text message,,1,1.45
18 - 24,South Australia,1776.9,False billing,Text message,,1,1.02
35 - 44,Victoria,1882.0,Dating and romance,In person,155000.0,1,2.31
25 - 34,Queensland,1901.0,Identity theft,Mail,,2,1.41
55 - 64,Western Australia,2094.3,Other,Email,,2,3.77
45 - 54,Tasmania,1710.8,False billing,Text message,,1,2.01
18 - 24,New South Wales,1935.7,Dating and romance,Social media/Online forums,150.0,2,1.36
25 - 34,New South Wales,1935.7,Identity theft,Email,0.0,2,2.46
55 - 64,New South Wales,1935.7,inheritance and unexpected money,Mail,,2,1.27
65 and over,New South Wales,1935.7,Classified,Social media/Online forums,270.98,4,3.88
65 and over,Queensland,1901.0,Dating and romance,Mobile apps,,2,1.14
Under 18,South Australia,1776.9,Dating and romance,Social media/Online forums,,1,1.05
65 and over,New South Wales,1935.7,Remote access,Email,,5,3.49
65 and over,New South Wales,2126.5,Rebate,Text message,,1,1.78
25 - 34,Queensland,1901.0,Phishing,Text message,,17,19.49
45 - 54,South Australia,1776.9,False billing,Text message,,12,1.7
55 - 64,Victoria,1882.0,"Threats to life, arrest or other",Text message,,1,1.02
65 and over,South Australia,1776.9,False billing,Phone call,,4,1.73
25 - 34,South Australia,1776.9,Phishing,Phone call,,2,2.0
45 - 54,New South Wales,1935.7,Investment,Phone call,12370.0,3,2.79
55 - 64,Queensland,1901.0,Health and medical products,Email,,2,1.05
25 - 34,New South Wales,1935.7,Phishing,Email,,10,4.87
25 - 34,New South Wales,1935.7,Investment,Social media/Online forums,23400.0,1,2.09
45 - 54,Queensland,1901.0,Remote access,Text message,,1,1.66
35 - 44,New South Wales,1935.7,Investment,In person,,3,1.49
65 and over,Victoria,1882.0,Other,Email,,10,13.35
55 - 64,South Australia,1776.9,Ransomware and malware,Email,,1,1.55
55 - 64,New South Wales,1935.7,Other,Email,,6,7.81
35 - 44,South Australia,1776.9,Classified,Mobile apps,300.0,1,1.13
45 - 54,Victoria,1882.0,Online shopping,Social media/Online forums,,1,1.4
65 and over,New South Wales,1935.7,Hacking,Phone call,,7,4.6
45 - 54,South Australia,1776.9,Other,Text message,,4,2.53
55 - 64,New South Wales,2126.5,False billing,Text message,,2,4.72
45 - 54,Victoria,1882.0,Health and medical products,Text message,,3,1.0
35 - 44,Queensland,1901.0,Rebate,Text message,,1,1.34
25 - 34,Queensland,1901.0,Rebate,Text message,,2,1.01
65 and over,Victoria,1882.0,Online shopping,Social media/Online forums,,3,1.63
55 - 64,Queensland,1901.0,Phishing,Phone call,,9,11.75
35 - 44,Western Australia,2094.3,Hacking,Email,,2,2.82
55 - 64,New South Wales,1935.7,Jobs and employment,Email,,2,1.34
35 - 44,Victoria,1882.0,Remote access,Text message,,2,2.84
65 and over,New South Wales,1935.7,Phishing,Internet,,2,1.33
25 - 34,Tasmania,1710.8,False billing,Email,0.0,1,1.21
45 - 54,New South Wales,2126.5,Ransomware and malware,Email,,1,1.13
35 - 44,South Australia,1776.9,Identity theft,Internet,1377.0,1,1.61
55 - 64,South Australia,1776.9,Investment,Phone call,1200.0,2,3.15
45 - 54,Tasmania,1710.8,Jobs and employment,Social media/Online forums,,1,1.12
35 - 44,South Australia,1776.9,"Travel, prizes and lottery",Email,0.0,1,1.6
35 - 44,Victoria,1882.0,Online shopping,Mail,,1,1.01
25 - 34,Western Australia,2094.3,Health and medical products,Phone call,,1,1.12
65 and over,Queensland,1901.0,False billing,Text message,,18,35.52
55 - 64,New South Wales,1935.7,Classified,Phone call,,1,1.29
65 and over,Queensland,1901.0,Classified,Social media/Online forums,,2,1.99
25 - 34,New South Wales,1935.7,Other,Email,,2,2.04
25 - 34,New South Wales,1935.7,Pyramid schemes,Text message,,1,1.26
35 - 44,Queensland,1901.0,Online shopping,Social media/Online forums,220.0,5,4.28
45 - 54,Victoria,1882.0,Investment,Phone call,12000.0,4,2.86
55 - 64,New South Wales,1935.7,Other,Text message,0.0,15,15.17
