Age Group,State,Average State Income,Scam Type,Contact Method,Amount_lost,Actual_Number_of_Reports,Predicted_Number_of_Reports
65 and over,Queensland,1901,Dating and romance,Social media/Online forums,106200,4,2.32
35 - 44,Queensland,1901,Identity theft,Phone call,0,2,3.4
35 - 44,South Australia,1776.9,False billing,Text message,0,1,4.19
45 - 54,New South Wales,2126.5,Classified,Social media/Online forums,0,1,0.7
25 - 34,New South Wales,2126.5,Rebate,Text message,0,1,0
18 - 24,Tasmania,1710.8,Phishing,Text message,0,2,0
45 - 54,Western Australia,2094.3,False billing,Phone call,2000,2,3.95
35 - 44,Queensland,1901,Remote access,Email,0,1,1.85
55 - 64,New South Wales,1935.7,Hacking,Email,0,8,4.59
65 and over,New South Wales,1935.7,Psychic and clairvoyant,In person,30000,1,1.86
45 - 54,Western Australia,2094.3,Phishing,Phone call,0,1,6.1
65 and over,Victoria,1882,Remote access,Text message,0,1,5.9
55 - 64,New South Wales,1935.7,"Threats to life, arrest or other",Phone call,0,1,2.5
55 - 64,Queensland,1901,Other,Phone call,485,11,5.33
55 - 64,Western Australia,2094.3,Rebate,Text message,0,2,1.95
55 - 64,Tasmania,1710.8,Phishing,Email,0,4,15.82
55 - 64,Queensland,1901,Dating and romance,Mobile apps,0,1,1.01
65 and over,New South Wales,2126.5,Dating and romance,Email,0,1,1.97
18 - 24,New South Wales,1935.7,False billing,Email,2000,9,5.74
45 - 54,New South Wales,1935.7,inheritance and unexpected money,Mail,0,1,1.02
25 - 34,Western Australia,2094.3,False billing,Phone call,11374,2,3.44
55 - 64,New South Wales,2126.5,Other,Mail,0,1,0.23
25 - 34,New South Wales,1935.7,Investment,Mobile apps,10000,2,1.87
45 - 54,New South Wales,1935.7,Phishing,Email,0,22,42.54
65 and over,New South Wales,1935.7,Other,Phone call,0,19,8.24
65 and over,South Australia,1776.9,Phishing,Social media/Online forums,0,1,4.65
35 - 44,New South Wales,1935.7,Investment,Phone call,15000,4,2.64
45 - 54,Queensland,1901,Classified,Email,1200,1,3.1
25 - 34,Victoria,1882,Betting and sports investment,Text message,0,3,1.78
35 - 44,Northern Territory,1845.8,Investment,Phone call,1300,1,1.84
45 - 54,Victoria,1882,Investment,Internet,1700,1,2.4
25 - 34,Victoria,1882,Online shopping,Social media/Online forums,1793.97,15,3.64
35 - 44,Queensland,1901,Mobile premium services,Text message,0,1,1.84
65 and over,Victoria,1882,inheritance and unexpected money,Email,0,4,5.81
65 and over,Queensland,1901,Classified,Mobile apps,3420,1,2.57
65 and over,Tasmania,1710.8,Phishing,Mail,0,1,0
65 and over,Victoria,1882,Phishing,Mail,0,1,13.97
65 and over,Queensland,1901,Health and medical products,Text message,0,1,4.66
18 - 24,New South Wales,1935.7,"Threats to life, arrest or other",Email,0,1,1.04
65 and over,Victoria,1882,"Travel, prizes and lottery",Email,0,3,6.43
18 - 24,Queensland,1901,Other,Phone call,0,3,2.15
65 and over,New South Wales,2126.5,False billing,Text message,0,5,6.56
35 - 44,Victoria,1882,Other,Phone call,500,6,4.18
35 - 44,New South Wales,1935.7,Phishing,Text message,730.41,41,35.13
65 and over,Victoria,1882,Online shopping,Text message,0,1,12.07
45 - 54,Western Australia,2094.3,Phishing,Text message,1457.99,10,23.97
35 - 44,New South Wales,2126.5,"Threats to life, arrest or other",Email,0,2,0
18 - 24,Victoria,1882,Health and medical products,Text message,0,1,1.39
35 - 44,Queensland,1901,"Travel, prizes and lottery",Phone call,0,2,1.5
45 - 54,Western Australia,2094.3,Betting and sports investment,Phone call,0,1,1
25 - 34,Queensland,1901,Phishing,Text message,0,28,20.87
25 - 34,South Australia,1776.9,Online shopping,Internet,433,1,0.57
25 - 34,Tasmania,1710.8,Phishing,Text message,0,1,0.8
65 and over,Victoria,1882,inheritance and unexpected money,Text message,0,1,5
55 - 64,Western Australia,2094.3,Rebate,Email,0,2,1.77
25 - 34,New South Wales,1935.7,Psychic and clairvoyant,Social media/Online forums,0,1,0.89
45 - 54,Victoria,1882,Online shopping,Internet,290,5,2.51
25 - 34,South Australia,1776.9,Phishing,Internet,0,1,0
35 - 44,Queensland,1901,Dating and romance,Text message,0,1,1.93
18 - 24,Western Australia,2094.3,Remote access,Internet,0,1,0.17
45 - 54,Queensland,1901,Jobs and employment,Email,0,1,1.87
65 and over,Northern Territory,1845.8,False billing,Email,0,4,6.64
35 - 44,Victoria,1882,Hacking,Social media/Online forums,0,1,2.24
45 - 54,South Australia,1776.9,Hacking,Phone call,0,1,1.78
55 - 64,Victoria,1882,Classified,Internet,0,3,1.77
25 - 34,New South Wales,1935.7,Jobs and employment,Social media/Online forums,16650,3,1.87
55 - 64,New South Wales,1935.7,Hacking,Text message,0,7,4.76
18 - 24,Western Australia,2094.3,Online shopping,Text message,0,1,2.84
35 - 44,Western Australia,2094.3,Online shopping,Internet,227.8,2,0.59
65 and over,Queensland,1901,Rebate,Phone call,0,1,3.18
65 and over,Victoria,1882,Classified,Text message,0,2,6.88
25 - 34,New South Wales,2126.5,Identity theft,Email,0,1,1.43
55 - 64,Western Australia,2094.3,Investment,Mobile apps,0,1,0.69
45 - 54,Queensland,1901,Classified,Phone call,8250,2,3.14
65 and over,Tasmania,1710.8,Identity theft,Text message,0,1,4.14
65 and over,Western Australia,2094.3,"Threats to life, arrest or other",Email,0,1,3.59
65 and over,New South Wales,1935.7,Phishing,Mobile apps,0,1,15.87
65 and over,New South Wales,1935.7,Identity theft,Text message,0,19,9.69
45 - 54,South Australia,1776.9,Phishing,Phone call,7200,6,7.62
25 - 34,Queensland,1901,Online shopping,Email,0,2,4.53
35 - 44,Queensland,1901,Health and medical products,Text message,0,2,1.84
45 - 54,Victoria,1882,Other,Social media/Online forums,0,1,2.96
45 - 54,Victoria,1882,Classified,Mobile apps,1000,1,2.43
45 - 54,Western Australia,2094.3,Ransomware and malware,Email,0,1,0.84
45 - 54,New South Wales,1935.7,Ransomware and malware,Mobile apps,0,2,1.02
55 - 64,Western Australia,2094.3,Online shopping,Social media/Online forums,0,1,2.03
55 - 64,New South Wales,1935.7,Dating and romance,Social media/Online forums,0,2,1.76
45 - 54,South Australia,1776.9,Mobile premium services,Internet,219.64,1,0.44
45 - 54,New South Wales,1935.7,Online shopping,Internet,115.5,4,2.74
55 - 64,Queensland,1901,Overpayment,Phone call,0,1,1.89
55 - 64,New South Wales,1935.7,Betting and sports investment,Text message,0,1,3.49
65 and over,Victoria,1882,Identity theft,Mail,0,3,2.31
45 - 54,New South Wales,1935.7,Identity theft,Text message,0,8,6.18
25 - 34,Queensland,1901,Remote access,Phone call,0,2,1.45
65 and over,Western Australia,2094.3,Phishing,Internet,0,3,3.21
45 - 54,Victoria,1882,Identity theft,Social media/Online forums,0,2,2.94
65 and over,Western Australia,2094.3,inheritance and unexpected money,Email,0,2,2.97
25 - 34,New South Wales,1935.7,"Travel, prizes and lottery",Email,0,2,1.42
55 - 64,Victoria,1882,Rebate,Text message,0,5,3.55
45 - 54,South Australia,1776.9,Phishing,Email,0,8,15.76
25 - 34,Queensland,1901,Online shopping,Phone call,0,1,3.03
35 - 44,Queensland,1901,Phishing,Phone call,0,10,8.07
18 - 24,South Australia,1776.9,Remote access,Text message,0,1,0
65 and over,Western Australia,2094.3,Identity theft,Internet,0,1,1.7
45 - 54,Victoria,1882,Classified,Internet,2041,3,2.67
25 - 34,Victoria,1882,Identity theft,Text message,0,2,4.76
25 - 34,Victoria,1882,Identity theft,Phone call,0,1,3.33
25 - 34,Western Australia,2094.3,Identity theft,Social media/Online forums,0,1,1.52
55 - 64,New South Wales,2126.5,Classified,Internet,0,1,0.18
55 - 64,Western Australia,2094.3,inheritance and unexpected money,Email,0,2,1.57
35 - 44,Western Australia,2094.3,Jobs and employment,Social media/Online forums,0,1,0.56
35 - 44,Western Australia,2094.3,Ransomware and malware,Email,0,1,0.54
25 - 34,Victoria,1882,False billing,In person,0,1,1.73
35 - 44,Victoria,1882,Classified,Internet,700,1,2.55
35 - 44,New South Wales,2126.5,"Travel, prizes and lottery",Email,0,1,0
18 - 24,Western Australia,2094.3,Phishing,Phone call,0,1,0
35 - 44,Western Australia,2094.3,Investment,In person,46000,1,1.44
65 and over,South Australia,1776.9,Phishing,Text message,0,28,42.61
35 - 44,Queensland,1901,Hacking,Phone call,0,1,2.42
55 - 64,Queensland,1901,Rebate,Text message,0,1,3.21
45 - 54,New South Wales,1935.7,Online shopping,Mail,0,1,2.34
18 - 24,Queensland,1901,Identity theft,Social media/Online forums,0,2,1.49
35 - 44,New South Wales,1935.7,Phishing,Social media/Online forums,0,2,2.77
35 - 44,Queensland,1901,inheritance and unexpected money,Email,0,1,1.48
25 - 34,Victoria,1882,Health and medical products,Email,0,1,1.42
55 - 64,New South Wales,1935.7,Online shopping,Text message,0,8,9.34
25 - 34,Victoria,1882,Dating and romance,Social media/Online forums,6000,1,1.68
65 and over,New South Wales,2126.5,Other,Phone call,0,2,3.67
45 - 54,Queensland,1901,"Travel, prizes and lottery",Mobile apps,0,1,0.92
35 - 44,New South Wales,1935.7,"Threats to life, arrest or other",Mobile apps,0,1,1.07
35 - 44,New South Wales,2126.5,Phishing,Text message,0,6,6.28
65 and over,New South Wales,1935.7,Classified,Social media/Online forums,0,1,3.46
25 - 34,Queensland,1901,Other,Phone call,600,6,3.51
35 - 44,Western Australia,2094.3,False billing,Phone call,0,4,2.8
25 - 34,Queensland,1901,Ransomware and malware,Email,0,2,1.08
25 - 34,New South Wales,2126.5,Phishing,Phone call,0,2,0
65 and over,South Australia,1776.9,Remote access,Social media/Online forums,0,1,0.71
55 - 64,Victoria,1882,Identity theft,Mobile apps,2500,1,2.95
65 and over,Western Australia,2094.3,Fake charity,Email,0,1,2.97
25 - 34,Queensland,1901,Hacking,Email,0,1,2
45 - 54,South Australia,1776.9,Classified,Social media/Online forums,570,2,1.84
35 - 44,New South Wales,1935.7,False billing,In person,0,1,2.4
45 - 54,Western Australia,2094.3,Classified,Social media/Online forums,3335,9,2.18
18 - 24,Western Australia,2094.3,Phishing,Email,0,1,0
45 - 54,Western Australia,2094.3,Classified,Mobile apps,650,2,1.29
18 - 24,Queensland,1901,Phishing,Social media/Online forums,600,1,0
65 and over,Victoria,1882,Classified,Internet,99,1,2.5
25 - 34,New South Wales,1935.7,Hacking,Phone call,0,1,2.42
45 - 54,New South Wales,1935.7,Overpayment,Email,0,1,2.26
25 - 34,Western Australia,2094.3,Phishing,Email,0,2,5.23
65 and over,Western Australia,2094.3,"Travel, prizes and lottery",Email,94.11,4,3.49
25 - 34,South Australia,1776.9,"Threats to life, arrest or other",Social media/Online forums,3200,1,0.95
65 and over,Northern Territory,1845.8,Remote access,Phone call,0,1,0
65 and over,Victoria,1882,False billing,Text message,0,44,12.44
45 - 54,Queensland,1901,Ransomware and malware,Email,0,1,1.79
55 - 64,New South Wales,1935.7,False billing,Social media/Online forums,110,2,4.72
55 - 64,Queensland,1901,Rebate,Text message,0,1,3.21
45 - 54,Queensland,1901,Hacking,Internet,0,3,1.35
18 - 24,Queensland,1901,Health and medical products,Phone call,0,1,0.77
55 - 64,Western Australia,2094.3,Online shopping,Social media/Online forums,1150,3,3.18
35 - 44,Queensland,1901,Identity theft,Social media/Online forums,0,3,2.5
65 and over,Victoria,1882,Identity theft,In person,0,1,2.31
35 - 44,Victoria,1882,"Threats to life, arrest or other",Phone call,0,5,1.83
45 - 54,Queensland,1901,Phishing,Phone call,0,12,12.65
45 - 54,Western Australia,2094.3,Identity theft,Email,0,2,3.68
65 and over,Northern Territory,1845.8,Phishing,Text message,0,5,26.31
55 - 64,New South Wales,2126.5,Investment,Phone call,617,1,0.85
35 - 44,South Australia,1776.9,inheritance and unexpected money,Text message,0,1,0.33
Under 18,Queensland,1901,Online shopping,Social media/Online forums,185,1,2.08
18 - 24,Victoria,1882,Overpayment,In person,459.69,1,1.07
45 - 54,Western Australia,2094.3,Identity theft,Text message,0,4,4.14
65 and over,Queensland,1901,Phishing,Email,0,100,63.59
35 - 44,Victoria,1882,Mobile premium services,Email,0,1,1.82
25 - 34,Queensland,1901,Jobs and employment,Text message,0,1,1.53
35 - 44,New South Wales,1935.7,Identity theft,Social media/Online forums,0,1,3.23
55 - 64,Queensland,1901,Remote access,Phone call,0,3,2.3
25 - 34,New South Wales,1935.7,Hacking,Social media/Online forums,0,1,1.9
55 - 64,Tasmania,1710.8,"Travel, prizes and lottery",Email,0,1,0.02
35 - 44,Queensland,1901,Phishing,Text message,4714.59,36,39.36
55 - 64,Tasmania,1710.8,Other,Text message,0,1,3.74
55 - 64,Queensland,1901,Ransomware and malware,Email,0,4,2.83
65 and over,New South Wales,1935.7,"Threats to life, arrest or other",Phone call,0,2,3.66
65 and over,Victoria,1882,Classified,Internet,0,1,2.4
25 - 34,Victoria,1882,Hacking,Text message,0,1,2.69
65 and over,Victoria,1882,Health and medical products,Internet,179.49,1,1.26
55 - 64,New South Wales,1935.7,Investment,Internet,30000,1,2.37
25 - 34,New South Wales,1935.7,Mobile premium services,Phone call,0,4,1.41
65 and over,Queensland,1901,Remote access,Phone call,90582.14,11,3.86
25 - 34,Western Australia,2094.3,Identity theft,Social media/Online forums,0,1,1.52
55 - 64,Victoria,1882,Classified,Email,0,2,4.29
45 - 54,Queensland,1901,Overpayment,Text message,0,1,2.14
18 - 24,Queensland,1901,"Threats to life, arrest or other",Social media/Online forums,3000,1,1.53
25 - 34,New South Wales,1935.7,Jobs and employment,Phone call,272,1,1.57
65 and over,South Australia,1776.9,Remote access,Social media/Online forums,0,1,0.71
18 - 24,Queensland,1901,"Threats to life, arrest or other",Phone call,0,1,0.79
35 - 44,South Australia,1776.9,Mobile premium services,Email,0,1,0.3
35 - 44,South Australia,1776.9,False billing,Text message,0,3,4.19
45 - 54,Victoria,1882,Hacking,Phone call,0,1,2.86
65 and over,Western Australia,2094.3,Phishing,Phone call,95143.32,16,29.81
25 - 34,South Australia,1776.9,Investment,Internet,10000,1,1.16
25 - 34,Victoria,1882,Betting and sports investment,Social media/Online forums,27000,1,1.93
45 - 54,Western Australia,2094.3,Investment,Internet,500,1,0.83
25 - 34,Victoria,1882,Other,Phone call,0,3,3.36
18 - 24,Victoria,1882,False billing,Email,0,2,4.57
55 - 64,South Australia,1776.9,Identity theft,Text message,700,2,3.83
45 - 54,South Australia,1776.9,Hacking,Text message,0,2,1.47
65 and over,Victoria,1882,Online shopping,Internet,107.6,1,4.59
65 and over,Western Australia,2094.3,Identity theft,Mail,0,1,1.12
25 - 34,New South Wales,2126.5,"Travel, prizes and lottery",Internet,813.5,1,0.42
65 and over,New South Wales,1935.7,Online shopping,Text message,0,5,12.69
35 - 44,South Australia,1776.9,Overpayment,Text message,0,1,0.33
35 - 44,New South Wales,2126.5,Identity theft,Text message,0,1,2.25
65 and over,Victoria,1882,Online shopping,Text message,0,1,12.07
55 - 64,New South Wales,1935.7,Remote access,Email,0,1,3.78
55 - 64,Western Australia,2094.3,Hacking,Internet,0,1,0.87
65 and over,Tasmania,1710.8,Online shopping,Phone call,0,1,3.56
65 and over,Western Australia,2094.3,Health and medical products,Email,0,2,2.97
45 - 54,South Australia,1776.9,Other,Phone call,0,3,2.42
55 - 64,Tasmania,1710.8,False billing,Email,0,1,4.8
25 - 34,Queensland,1901,Health and medical products,Phone call,0,1,1.15
35 - 44,Queensland,1901,Online shopping,Email,0,1,5.4
65 and over,Queensland,1901,Remote access,Phone call,9925,12,3.86
65 and over,Queensland,1901,Rebate,Email,0,7,6.09
35 - 44,Queensland,1901,Phishing,Text message,0,21,24.22
45 - 54,Victoria,1882,Jobs and employment,Social media/Online forums,68000,1,2.39
45 - 54,South Australia,1776.9,Health and medical products,Text message,0,2,0.63
18 - 24,Victoria,1882,"Threats to life, arrest or other",Text message,0,1,1.48
18 - 24,Western Australia,2094.3,Other,Phone call,0,2,0.96
18 - 24,Victoria,1882,Online shopping,Email,0,1,3.98
55 - 64,Queensland,1901,Other,Text message,0,16,8.38
25 - 34,New South Wales,1935.7,False billing,Text message,0,4,6.37
25 - 34,Victoria,1882,False billing,Phone call,0,1,3.73
35 - 44,Victoria,1882,Jobs and employment,Text message,0,1,2.26
45 - 54,New South Wales,1935.7,Classified,Social media/Online forums,605,3,3.12
45 - 54,Victoria,1882,Overpayment,Phone call,0,1,1.92
35 - 44,Tasmania,1710.8,Ransomware and malware,Email,0,1,0
45 - 54,New South Wales,1935.7,Dating and romance,Social media/Online forums,43749.19,2,2.53
18 - 24,Queensland,1901,Phishing,Text message,0,2,13.78
45 - 54,New South Wales,1935.7,Overpayment,Internet,105.35,2,1.17
35 - 44,Victoria,1882,Dating and romance,In person,0,1,1.22
25 - 34,Victoria,1882,Phishing,Email,0,4,19.51
55 - 64,South Australia,1776.9,Rebate,Text message,0,1,1.27
45 - 54,Tasmania,1710.8,Other,Email,0,1,1.99
65 and over,New South Wales,1935.7,Rebate,Email,0,11,6.57
35 - 44,Queensland,1901,Classified,In person,500,1,1.73
55 - 64,South Australia,1776.9,Phishing,Email,0,20,22.43
65 and over,Queensland,1901,Phishing,In person,0,1,12.14
65 and over,Victoria,1882,Phishing,Internet,0,3,15.4
25 - 34,Victoria,1882,Identity theft,Social media/Online forums,650,2,3.09
25 - 34,New South Wales,1935.7,Investment,Phone call,2750,1,2.29
55 - 64,Western Australia,2094.3,False billing,Text message,0,2,6.76
25 - 34,New South Wales,2126.5,Identity theft,Phone call,0,2,1.78
25 - 34,South Australia,1776.9,Fake charity,Phone call,0,1,0.57
65 and over,Queensland,1901,Classified,Text message,0,1,6.54
35 - 44,New South Wales,1935.7,Rebate,Text message,0,1,2.18
55 - 64,New South Wales,1935.7,Classified,Email,0,2,4.59
25 - 34,Victoria,1882,False billing,Phone call,0,1,3.73
65 and over,Queensland,1901,False billing,Phone call,0,7,7.66
65 and over,Tasmania,1710.8,Rebate,Email,50000,2,12.58
25 - 34,Tasmania,1710.8,Other,Text message,0,1,1.25
18 - 24,New South Wales,1935.7,"Threats to life, arrest or other",Email,0,2,1.04
35 - 44,Tasmania,1710.8,False billing,Email,0,2,3.16
25 - 34,Western Australia,2094.3,Phishing,Text message,0,4,8.48
55 - 64,Queensland,1901,Remote access,Phone call,0,8,2.3
35 - 44,Queensland,1901,Classified,Social media/Online forums,0,5,1.9
25 - 34,South Australia,1776.9,Ransomware and malware,In person,770,1,0.97
55 - 64,South Australia,1776.9,Investment,Phone call,0,2,1.16
65 and over,New South Wales,1935.7,Dating and romance,Internet,800,1,2.11
25 - 34,Western Australia,2094.3,Classified,In person,0,1,0.37
25 - 34,Western Australia,2094.3,Online shopping,Social media/Online forums,0,2,0.83
45 - 54,Victoria,1882,Other,Email,355,3,7.04
18 - 24,Victoria,1882,Classified,Email,0,2,1.95
55 - 64,Victoria,1882,Online shopping,Email,0,1,8.16
55 - 64,Western Australia,2094.3,Identity theft,Phone call,0,1,3.2
45 - 54,New South Wales,1935.7,Investment,Social media/Online forums,0,2,1.85
65 and over,New South Wales,1935.7,Phishing,Social media/Online forums,0,1,20.36
45 - 54,New South Wales,2126.5,Phishing,Email,0,3,11.21
35 - 44,New South Wales,2126.5,Hacking,Email,0,1,0
65 and over,Queensland,1901,Remote access,Email,2797,4,16.66
25 - 34,Northern Territory,1845.8,Phishing,Phone call,0,2,0
18 - 24,Victoria,1882,Rebate,Text message,0,1,1.48
35 - 44,New South Wales,2126.5,Phishing,Email,0,1,3.03
45 - 54,Queensland,1901,Investment,Social media/Online forums,0,2,1.37
45 - 54,South Australia,1776.9,Rebate,Email,0,1,0.52
55 - 64,Queensland,1901,Other,Email,500,9,8.5
35 - 44,Western Australia,2094.3,Investment,Email,9950,1,1.03
18 - 24,Victoria,1882,Classified,Social media/Online forums,4200,5,2.69
35 - 44,New South Wales,1935.7,Jobs and employment,Mobile apps,1630,1,2.06
55 - 64,Western Australia,2094.3,Ransomware and malware,Email,0,2,1.57
55 - 64,New South Wales,2126.5,Identity theft,Text message,0,4,2.9
45 - 54,Queensland,1901,Other,Phone call,0,3,3.8
65 and over,Western Australia,2094.3,Phishing,Phone call,0,12,11.76
65 and over,Queensland,1901,Identity theft,Mobile apps,495,1,2.42
65 and over,New South Wales,2126.5,Remote access,Email,0,1,2.24
45 - 54,Victoria,1882,Identity theft,Email,0,5,5.1
35 - 44,Victoria,1882,Phishing,Phone call,0,13,9.96
18 - 24,Victoria,1882,Jobs and employment,Social media/Online forums,0,1,0.79
18 - 24,Queensland,1901,False billing,Email,18000,4,5.44
Under 18,New South Wales,2126.5,Hacking,Email,0,1,0
25 - 34,New South Wales,1935.7,Phishing,Mobile apps,1005.99,1,0
55 - 64,Victoria,1882,Jobs and employment,Text message,0,1,3.55
35 - 44,Queensland,1901,Phishing,Email,0,7,20.97
25 - 34,New South Wales,2126.5,Classified,Text message,143,1,0
18 - 24,Western Australia,2094.3,Dating and romance,Social media/Online forums,0,1,0.03
35 - 44,Queensland,1901,Phishing,Text message,0,38,24.22
Under 18,Victoria,1882,Remote access,Phone call,0,1,1.14
25 - 34,Queensland,1901,False billing,Text message,0,5,5.63
45 - 54,New South Wales,1935.7,Classified,Phone call,1050,2,3.66
55 - 64,Western Australia,2094.3,Hacking,Text message,0,3,2.73
55 - 64,New South Wales,1935.7,Online shopping,Internet,10133,3,4.98
65 and over,Tasmania,1710.8,False billing,Mobile apps,0,1,0.87
65 and over,New South Wales,2126.5,Phishing,Text message,505.95,34,44.82
25 - 34,Victoria,1882,Betting and sports investment,Mobile apps,240,1,1.01
45 - 54,New South Wales,1935.7,Other,Mobile apps,82,1,2.47
18 - 24,Victoria,1882,False billing,Internet,575,1,2.07
18 - 24,New South Wales,1935.7,Health and medical products,Text message,0,2,1.31
55 - 64,New South Wales,1935.7,Other,Internet,230.64,1,3.62
65 and over,New South Wales,1935.7,Dating and romance,Email,0,9,6.57
35 - 44,New South Wales,1935.7,Identity theft,Phone call,0,8,4.14
35 - 44,Tasmania,1710.8,Remote access,Text message,0,1,0
65 and over,Queensland,1901,"Threats to life, arrest or other",Email,0,5,6.09
25 - 34,New South Wales,2126.5,Fake charity,Social media/Online forums,190,1,0
55 - 64,New South Wales,1935.7,Dating and romance,Social media/Online forums,59750,3,2.61
18 - 24,Victoria,1882,Online shopping,Email,227.75,3,4.5
45 - 54,New South Wales,2126.5,False billing,Phone call,4500,1,3.04
65 and over,New South Wales,1935.7,Hacking,Social media/Online forums,0,1,3.46
35 - 44,Western Australia,2094.3,Classified,Phone call,0,1,1.69
25 - 34,New South Wales,1935.7,Investment,Social media/Online forums,5900,1,1.88
45 - 54,New South Wales,1935.7,Investment,In person,72970,1,2.16
18 - 24,Western Australia,2094.3,False billing,Email,0,1,2.96
55 - 64,Western Australia,2094.3,Identity theft,Social media/Online forums,300,1,2.18
18 - 24,Victoria,1882,Investment,Social media/Online forums,917.5,1,1.85
65 and over,Queensland,1901,Other,Text message,0,6,11.73
35 - 44,Western Australia,2094.3,Remote access,Phone call,0,1,1.18
65 and over,Western Australia,2094.3,Health and medical products,Text message,0,3,2.16
65 and over,South Australia,1776.9,Hacking,Text message,0,3,4.15
35 - 44,Queensland,1901,Hacking,Text message,0,4,2.85
35 - 44,South Australia,1776.9,Classified,Social media/Online forums,10550,2,2.21
65 and over,New South Wales,1935.7,Investment,Social media/Online forums,8000,2,3.07
45 - 54,Victoria,1882,False billing,Email,10.08,12,7.02
65 and over,South Australia,1776.9,Investment,Internet,150000,1,1.13
55 - 64,Victoria,1882,Rebate,Text message,0,3,3.55
25 - 34,New South Wales,1935.7,Hacking,Mobile apps,0,1,1.22
Under 18,New South Wales,1935.7,Online shopping,Internet,225,2,1.89
18 - 24,Victoria,1882,Jobs and employment,Email,0,1,1.12
25 - 34,Victoria,1882,False billing,Social media/Online forums,6092,1,3.56
25 - 34,New South Wales,1935.7,Phishing,Social media/Online forums,1000,1,1.13
55 - 64,Queensland,1901,Classified,Social media/Online forums,900,8,2.88
55 - 64,Tasmania,1710.8,Online shopping,Social media/Online forums,1000,2,2.36
55 - 64,South Australia,1776.9,Online shopping,Internet,0,1,0.86
55 - 64,New South Wales,2126.5,Ransomware and malware,Email,0,1,0
65 and over,Northern Territory,1845.8,Investment,Email,370,1,4.61
35 - 44,South Australia,1776.9,Classified,Email,0,1,1.14
35 - 44,Queensland,1901,False billing,Phone call,0,2,3.73
35 - 44,Victoria,1882,False billing,Mail,0,1,2.06
18 - 24,Victoria,1882,Other,Social media/Online forums,200,1,1.95
45 - 54,New South Wales,1935.7,Dating and romance,Internet,0,1,1.1
45 - 54,Queensland,1901,Phishing,Email,0,17,30.48
25 - 34,New South Wales,2126.5,Pyramid schemes,Mobile apps,0,1,0
55 - 64,New South Wales,1935.7,Phishing,Social media/Online forums,110,1,11.16
18 - 24,Western Australia,2094.3,Overpayment,Email,0,1,0
25 - 34,New South Wales,1935.7,Online shopping,Text message,1240,6,6.83
Under 18,Western Australia,2094.3,Other,Phone call,0,1,1.35
55 - 64,New South Wales,1935.7,Classified,Social media/Online forums,5160,6,3.66
35 - 44,New South Wales,1935.7,Identity theft,Phone call,0,6,4.14
25 - 34,Victoria,1882,False billing,Internet,810,1,2.8
25 - 34,South Australia,1776.9,Other,Phone call,0,2,1.65
35 - 44,Victoria,1882,Online shopping,Internet,2743.9,7,3.35
45 - 54,New South Wales,1935.7,Overpayment,Phone call,0,1,2.06
Under 18,New South Wales,1935.7,Online shopping,Social media/Online forums,480,2,3.18
45 - 54,New South Wales,1935.7,Remote access,Text message,0,1,2.98
65 and over,Victoria,1882,Rebate,Text message,0,11,5.62
45 - 54,South Australia,1776.9,False billing,Text message,0,6,4.83
55 - 64,New South Wales,1935.7,Other,Phone call,0,11,5.81
35 - 44,Queensland,1901,Classified,Email,0,2,2.49
35 - 44,New South Wales,1935.7,Investment,Social media/Online forums,45000,1,2.47
18 - 24,Queensland,1901,Overpayment,Email,400,1,0.8
35 - 44,Victoria,1882,Identity theft,In person,0,1,2.01
65 and over,Victoria,1882,Rebate,Phone call,0,1,3.51
55 - 64,Western Australia,2094.3,"Threats to life, arrest or other",Email,0,3,1.77
65 and over,New South Wales,1935.7,False billing,Email,36090,60,24.82
35 - 44,South Australia,1776.9,Online shopping,Social media/Online forums,86,1,1.06
65 and over,New South Wales,1935.7,"Travel, prizes and lottery",Text message,0,1,5.76
55 - 64,New South Wales,1935.7,Identity theft,Social media/Online forums,0,3,3.76
35 - 44,Western Australia,2094.3,Jobs and employment,Social media/Online forums,23000,1,1.31
25 - 34,Queensland,1901,Online shopping,Email,139.75,2,4.96
35 - 44,New South Wales,2126.5,Health and medical products,Social media/Online forums,0,1,0.12
18 - 24,New South Wales,1935.7,False billing,Text message,0,6,5.44
55 - 64,Victoria,1882,Overpayment,Social media/Online forums,500,2,1.81
18 - 24,New South Wales,2126.5,Phishing,Phone call,70000,2,0
25 - 34,Queensland,1901,"Travel, prizes and lottery",Text message,0,1,1.53
55 - 64,Northern Territory,1845.8,False billing,Email,0,2,3.63
55 - 64,Queensland,1901,Hacking,Email,0,1,3.95
25 - 34,Victoria,1882,Hacking,Social media/Online forums,0,1,1.83
65 and over,Northern Territory,1845.8,False billing,Email,0,1,6.64
65 and over,New South Wales,2126.5,Phishing,Phone call,0,4,4.73
55 - 64,Northern Territory,1845.8,Identity theft,Email,0,1,1.18
55 - 64,Western Australia,2094.3,inheritance and unexpected money,Text message,0,1,1.75
25 - 34,New South Wales,1935.7,Online shopping,Text message,800,1,6.61
25 - 34,New South Wales,1935.7,Phishing,Mail,0,1,0
25 - 34,New South Wales,1935.7,Identity theft,Internet,0,1,1.97
18 - 24,New South Wales,1935.7,"Threats to life, arrest or other",Phone call,54000,1,1.8
65 and over,New South Wales,1935.7,Dating and romance,Email,0,2,6.57
45 - 54,South Australia,1776.9,Hacking,Social media/Online forums,0,1,1.37
