Age Group,State,Average State Income,Scam Type,Contact Method,Amount_lost,Actual_Number_of_Reports,Predicted_Number_of_Reports
35 - 44,Tasmania,1710.8,Rebate,Text message,0,1,0
65 and over,Queensland,1901,Dating and romance,Internet,0,1,1.18
65 and over,New South Wales,1935.7,Ransomware and malware,Email,0,5,5.95
35 - 44,Victoria,1882,Other,Internet,89,2,1.99
55 - 64,Western Australia,2094.3,Remote access,Internet,0,1,0.74
55 - 64,Tasmania,1710.8,Investment,Social media/Online forums,380,1,0.29
25 - 34,Victoria,1882,"Threats to life, arrest or other",Mobile apps,251181.81,1,1.92
65 and over,New South Wales,2126.5,Hacking,Email,0,2,2.89
35 - 44,Victoria,1882,"Travel, prizes and lottery",Phone call,0,1,1.83
45 - 54,Western Australia,2094.3,Identity theft,Internet,0,1,1.22
25 - 34,New South Wales,1935.7,Jobs and employment,Mobile apps,3100,3,1.74
65 and over,Western Australia,2094.3,Classified,Text message,0,1,3.9
35 - 44,Queensland,1901,Classified,Social media/Online forums,7145,7,2.86
18 - 24,Queensland,1901,inheritance and unexpected money,Text message,0,1,1.06
45 - 54,Western Australia,2094.3,Remote access,Email,0,2,1.2
55 - 64,Northern Territory,1845.8,Phishing,Email,0,4,11.36
55 - 64,Tasmania,1710.8,Phishing,Email,0,37,15.82
45 - 54,South Australia,1776.9,Identity theft,Email,0,1,2.78
35 - 44,New South Wales,2126.5,Identity theft,Phone call,0,1,2.07
55 - 64,New South Wales,1935.7,Online shopping,Email,901,4,9.56
55 - 64,New South Wales,1935.7,Classified,Phone call,0,1,3.58
18 - 24,Queensland,1901,"Travel, prizes and lottery",Mobile apps,0,1,0.44
45 - 54,New South Wales,1935.7,Other,Text message,0,10,7.73
35 - 44,New South Wales,1935.7,"Threats to life, arrest or other",Phone call,0,2,1.75
25 - 34,Victoria,1882,Identity theft,Text message,0,2,4.76
55 - 64,Victoria,1882,Hacking,Text message,0,1,4.47
45 - 54,Queensland,1901,Other,Text message,0,3,6.77
Under 18,Victoria,1882,False billing,Phone call,0,1,3.64
65 and over,New South Wales,1935.7,Identity theft,In person,0,1,2.64
55 - 64,Victoria,1882,Jobs and employment,Mobile apps,24288,1,2.19
25 - 34,Queensland,1901,Phishing,Phone call,0,8,6.02
35 - 44,South Australia,1776.9,False billing,Internet,34.95,1,0.59
45 - 54,New South Wales,1935.7,Investment,Internet,1037,1,2.22
45 - 54,Tasmania,1710.8,False billing,Text message,0,2,3.58
45 - 54,Victoria,1882,Overpayment,Phone call,0,1,1.92
45 - 54,Tasmania,1710.8,Online shopping,Email,89.79,1,2.42
35 - 44,Northern Territory,1845.8,Overpayment,Text message,0,1,0
18 - 24,Victoria,1882,"Threats to life, arrest or other",Phone call,0,1,1.13
35 - 44,Western Australia,2094.3,Identity theft,Phone call,0,2,2.68
35 - 44,Tasmania,1710.8,Other,Phone call,0,1,1.7
35 - 44,New South Wales,2126.5,Other,Email,0,2,2.25
65 and over,South Australia,1776.9,Remote access,Phone call,19000,3,2.26
55 - 64,Tasmania,1710.8,Phishing,Email,0,6,15.82
